{0}	{19,10}	2.20	8.21
{19}	{10,0}	2.20	9.17
{10}	{0,19}	2.20	7.59
{19,0}	{10}	2.20	31.43
{19,10}	{0}	2.20	32.35
{10,0}	{19}	2.20	22.00
{0}	{12,10}	2.00	7.46
{12}	{10,0}	2.00	8.20
{10}	{0,12}	2.00	6.90
{12,0}	{10}	2.00	32.26
{12,10}	{0}	2.00	25.64
{10,0}	{12}	2.00	20.00
{0}	{6,10}	3.20	11.94
{6}	{10,0}	3.20	14.16
{10}	{0,6}	3.20	11.03
{6,0}	{10}	3.20	47.06
{6,10}	{0}	3.20	42.11
{10,0}	{6}	3.20	32.00
{0}	{13,10}	4.40	16.42
{13}	{10,0}	4.40	14.86
{10}	{0,13}	4.40	15.17
{13,0}	{10}	4.40	44.00
{13,10}	{0}	4.40	39.29
{10,0}	{13}	4.40	44.00
{0}	{16,10}	3.40	12.69
{16}	{10,0}	3.40	8.02
{10}	{0,16}	3.40	11.72
{16,0}	{10}	3.40	33.33
{16,10}	{0}	3.40	25.37
{10,0}	{16}	3.40	34.00
{0}	{15,10}	3.20	11.94
{15}	{10,0}	3.20	11.43
{10}	{0,15}	3.20	11.03
{15,0}	{10}	3.20	35.56
{15,10}	{0}	3.20	36.36
{10,0}	{15}	3.20	32.00
{0}	{11,10}	4.60	17.16
{11}	{10,0}	4.60	16.79
{10}	{0,11}	4.60	15.86
{11,0}	{10}	4.60	50.00
{11,10}	{0}	4.60	47.92
{10,0}	{11}	4.60	46.00
{0}	{1,10}	2.20	8.21
{1}	{10,0}	2.20	7.38
{10}	{0,1}	2.20	7.59
{1,0}	{10}	2.20	33.33
{1,10}	{0}	2.20	21.57
{10,0}	{1}	2.20	22.00
{0}	{5,10}	3.20	11.94
{5}	{10,0}	3.20	12.70
{10}	{0,5}	3.20	11.03
{5,0}	{10}	3.20	43.24
{5,10}	{0}	3.20	44.44
{10,0}	{5}	3.20	32.00
{0}	{4,10}	2.80	10.45
{4}	{10,0}	2.80	11.38
{10}	{0,4}	2.80	9.66
{4,0}	{10}	2.80	50.00
{4,10}	{0}	2.80	33.33
{10,0}	{4}	2.80	28.00
{0}	{2,10}	3.80	14.18
{2}	{10,0}	3.80	14.39
{10}	{0,2}	3.80	13.10
{2,0}	{10}	3.80	44.19
{2,10}	{0}	3.80	43.18
{10,0}	{2}	3.80	38.00
{0}	{18,10}	3.20	11.94
{18}	{10,0}	3.20	11.59
{10}	{0,18}	3.20	11.03
{18,0}	{10}	3.20	38.10
{18,10}	{0}	3.20	34.78
{10,0}	{18}	3.20	32.00
{0}	{9,10}	3.00	11.19
{9}	{10,0}	3.00	10.79
{10}	{0,9}	3.00	10.34
{9,0}	{10}	3.00	39.47
{9,10}	{0}	3.00	35.71
{10,0}	{9}	3.00	30.00
{0}	{14,10}	2.00	7.46
{14}	{10,0}	2.00	7.81
{10}	{0,14}	2.00	6.90
{14,0}	{10}	2.00	26.32
{14,10}	{0}	2.00	23.81
{10,0}	{14}	2.00	20.00
{0}	{7,8}	4.00	14.93
{7}	{8,0}	4.00	16.67
{8}	{0,7}	4.00	8.85
{7,0}	{8}	4.00	54.05
{7,8}	{0}	4.00	34.48
{8,0}	{7}	4.00	33.90
{0}	{3,8}	4.80	17.91
{3}	{8,0}	4.80	16.00
{8}	{0,3}	4.80	10.62
{3,0}	{8}	4.80	85.71
{3,8}	{0}	4.80	18.60
{8,0}	{3}	4.80	40.68
{0}	{17,8}	3.40	12.69
{17}	{8,0}	3.40	14.29
{8}	{0,17}	3.40	7.52
{17,0}	{8}	3.40	45.95
{17,8}	{0}	3.40	28.33
{8,0}	{17}	3.40	28.81
{0}	{19,8}	3.60	13.43
{19}	{8,0}	3.60	15.00
{8}	{0,19}	3.60	7.96
{19,0}	{8}	3.60	51.43
{19,8}	{0}	3.60	27.27
{8,0}	{19}	3.60	30.51
{0}	{12,8}	2.80	10.45
{12}	{8,0}	2.80	11.48
{8}	{0,12}	2.80	6.19
{12,0}	{8}	2.80	45.16
{12,8}	{0}	2.80	23.73
{8,0}	{12}	2.80	23.73
{0}	{6,8}	3.40	12.69
{6}	{8,0}	3.40	15.04
{8}	{0,6}	3.40	7.52
{6,0}	{8}	3.40	50.00
{6,8}	{0}	3.40	26.98
{8,0}	{6}	3.40	28.81
{0}	{13,8}	4.00	14.93
{13}	{8,0}	4.00	13.51
{8}	{0,13}	4.00	8.85
{13,0}	{8}	4.00	40.00
{13,8}	{0}	4.00	27.78
{8,0}	{13}	4.00	33.90
{0}	{16,8}	6.60	24.63
{16}	{8,0}	6.60	15.57
{8}	{0,16}	6.60	14.60
{16,0}	{8}	6.60	64.71
{16,8}	{0}	6.60	21.85
{8,0}	{16}	6.60	55.93
{0}	{15,8}	3.00	11.19
{15}	{8,0}	3.00	10.71
{8}	{0,15}	3.00	6.64
{15,0}	{8}	3.00	33.33
{15,8}	{0}	3.00	24.19
{8,0}	{15}	3.00	25.42
{0}	{11,8}	4.00	14.93
{11}	{8,0}	4.00	14.60
{8}	{0,11}	4.00	8.85
{11,0}	{8}	4.00	43.48
{11,8}	{0}	4.00	32.26
{8,0}	{11}	4.00	33.90
{0}	{1,8}	3.40	12.69
{1}	{8,0}	3.40	11.41
{8}	{0,1}	3.40	7.52
{1,0}	{8}	3.40	51.52
{1,8}	{0}	3.40	22.08
{8,0}	{1}	3.40	28.81
{0}	{5,8}	3.80	14.18
{5}	{8,0}	3.80	15.08
{8}	{0,5}	3.80	8.41
{5,0}	{8}	3.80	51.35
{5,8}	{0}	3.80	30.16
{8,0}	{5}	3.80	32.20
{0}	{4,8}	3.40	12.69
{4}	{8,0}	3.40	13.82
{8}	{0,4}	3.40	7.52
{4,0}	{8}	3.40	60.71
{4,8}	{0}	3.40	28.81
{8,0}	{4}	3.40	28.81
{0}	{2,8}	4.60	17.16
{2}	{8,0}	4.60	17.42
{8}	{0,2}	4.60	10.18
{2,0}	{8}	4.60	53.49
{2,8}	{0}	4.60	34.33
{8,0}	{2}	4.60	38.98
{0}	{18,8}	4.80	17.91
{18}	{8,0}	4.80	17.39
{8}	{0,18}	4.80	10.62
{18,0}	{8}	4.80	57.14
{18,8}	{0}	4.80	32.43
{8,0}	{18}	4.80	40.68
{0}	{9,8}	3.80	14.18
{9}	{8,0}	3.80	13.67
{8}	{0,9}	3.80	8.41
{9,0}	{8}	3.80	50.00
{9,8}	{0}	3.80	27.54
{8,0}	{9}	3.80	32.20
{0}	{14,8}	2.80	10.45
{14}	{8,0}	2.80	10.94
{8}	{0,14}	2.80	6.19
{14,0}	{8}	2.80	36.84
{14,8}	{0}	2.80	25.00
{8,0}	{14}	2.80	23.73
{0}	{7,3}	2.00	7.46
{7}	{3,0}	2.00	8.33
{3}	{0,7}	2.00	6.67
{7,0}	{3}	2.00	27.03
{7,3}	{0}	2.00	27.03
{3,0}	{7}	2.00	35.71
{0}	{17,3}	1.60	5.97
{17}	{3,0}	1.60	6.72
{3}	{0,17}	1.60	5.33
{17,0}	{3}	1.60	21.62
{17,3}	{0}	1.60	21.05
{3,0}	{17}	1.60	28.57
{0}	{19,3}	1.20	4.48
{19}	{3,0}	1.20	5.00
{3}	{0,19}	1.20	4.00
{19,0}	{3}	1.20	17.14
{19,3}	{0}	1.20	16.67
{3,0}	{19}	1.20	21.43
{0}	{12,3}	1.80	6.72
{12}	{3,0}	1.80	7.38
{3}	{0,12}	1.80	6.00
{12,0}	{3}	1.80	29.03
{12,3}	{0}	1.80	22.50
{3,0}	{12}	1.80	32.14
{0}	{6,3}	1.40	5.22
{6}	{3,0}	1.40	6.19
{3}	{0,6}	1.40	4.67
{6,0}	{3}	1.40	20.59
{6,3}	{0}	1.40	22.58
{3,0}	{6}	1.40	25.00
{0}	{13,3}	2.00	7.46
{13}	{3,0}	2.00	6.76
{3}	{0,13}	2.00	6.67
{13,0}	{3}	2.00	20.00
{13,3}	{0}	2.00	22.22
{3,0}	{13}	2.00	35.71
{0}	{16,3}	4.80	17.91
{16}	{3,0}	4.80	11.32
{3}	{0,16}	4.80	16.00
{16,0}	{3}	4.80	47.06
{16,3}	{0}	4.80	19.05
{3,0}	{16}	4.80	85.71
{0}	{15,3}	1.20	4.48
{15}	{3,0}	1.20	4.29
{3}	{0,15}	1.20	4.00
{15,0}	{3}	1.20	13.33
{15,3}	{0}	1.20	15.79
{3,0}	{15}	1.20	21.43
{0}	{11,3}	2.60	9.70
{11}	{3,0}	2.60	9.49
{3}	{0,11}	2.60	8.67
{11,0}	{3}	2.60	28.26
{11,3}	{0}	2.60	33.33
{3,0}	{11}	2.60	46.43
{0}	{1,3}	1.40	5.22
{1}	{3,0}	1.40	4.70
{3}	{0,1}	1.40	4.67
{1,0}	{3}	1.40	21.21
{1,3}	{0}	1.40	12.96
{3,0}	{1}	1.40	25.00
{0}	{5,3}	1.60	5.97
{5}	{3,0}	1.60	6.35
{3}	{0,5}	1.60	5.33
{5,0}	{3}	1.60	21.62
{5,3}	{0}	1.60	20.51
{3,0}	{5}	1.60	28.57
{0}	{4,3}	1.60	5.97
{4}	{3,0}	1.60	6.50
{3}	{0,4}	1.60	5.33
{4,0}	{3}	1.60	28.57
{4,3}	{0}	1.60	19.05
{3,0}	{4}	1.60	28.57
{0}	{2,3}	1.60	5.97
{2}	{3,0}	1.60	6.06
{3}	{0,2}	1.60	5.33
{2,0}	{3}	1.60	18.60
{2,3}	{0}	1.60	22.22
{3,0}	{2}	1.60	28.57
{0}	{18,3}	2.00	7.46
{18}	{3,0}	2.00	7.25
{3}	{0,18}	2.00	6.67
{18,0}	{3}	2.00	23.81
{18,3}	{0}	2.00	22.22
{3,0}	{18}	2.00	35.71
{0}	{9,3}	1.80	6.72
{9}	{3,0}	1.80	6.47
{3}	{0,9}	1.80	6.00
{9,0}	{3}	1.80	23.68
{9,3}	{0}	1.80	19.15
{3,0}	{9}	1.80	32.14
{0}	{14,3}	1.20	4.48
{14}	{3,0}	1.20	4.69
{3}	{0,14}	1.20	4.00
{14,0}	{3}	1.20	15.79
{14,3}	{0}	1.20	17.65
{3,0}	{14}	1.20	21.43
{0}	{7,17}	1.20	4.48
{7}	{17,0}	1.20	5.00
{17}	{0,7}	1.20	5.04
{7,0}	{17}	1.20	16.22
{7,17}	{0}	1.20	22.22
{17,0}	{7}	1.20	16.22
{0}	{19,17}	2.60	9.70
{19}	{17,0}	2.60	10.83
{17}	{0,19}	2.60	10.92
{19,0}	{17}	2.60	37.14
{19,17}	{0}	2.60	36.11
{17,0}	{19}	2.60	35.14
{0}	{12,17}	2.00	7.46
{12}	{17,0}	2.00	8.20
{17}	{0,12}	2.00	8.40
{12,0}	{17}	2.00	32.26
{12,17}	{0}	2.00	29.41
{17,0}	{12}	2.00	27.03
{0}	{6,17}	2.40	8.96
{6}	{17,0}	2.40	10.62
{17}	{0,6}	2.40	10.08
{6,0}	{17}	2.40	35.29
{6,17}	{0}	2.40	33.33
{17,0}	{6}	2.40	32.43
{0}	{13,17}	2.40	8.96
{13}	{17,0}	2.40	8.11
{17}	{0,13}	2.40	10.08
{13,0}	{17}	2.40	24.00
{13,17}	{0}	2.40	34.29
{17,0}	{13}	2.40	32.43
{0}	{16,17}	4.20	15.67
{16}	{17,0}	4.20	9.91
{17}	{0,16}	4.20	17.65
{16,0}	{17}	4.20	41.18
{16,17}	{0}	4.20	32.31
{17,0}	{16}	4.20	56.76
{0}	{15,17}	2.20	8.21
{15}	{17,0}	2.20	7.86
{17}	{0,15}	2.20	9.24
{15,0}	{17}	2.20	24.44
{15,17}	{0}	2.20	29.73
{17,0}	{15}	2.20	29.73
{0}	{11,17}	2.80	10.45
{11}	{17,0}	2.80	10.22
{17}	{0,11}	2.80	11.76
{11,0}	{17}	2.80	30.43
{11,17}	{0}	2.80	38.89
{17,0}	{11}	2.80	37.84
{0}	{1,17}	2.00	7.46
{1}	{17,0}	2.00	6.71
{17}	{0,1}	2.00	8.40
{1,0}	{17}	2.00	30.30
{1,17}	{0}	2.00	29.41
{17,0}	{1}	2.00	27.03
{0}	{5,17}	1.40	5.22
{5}	{17,0}	1.40	5.56
{17}	{0,5}	1.40	5.88
{5,0}	{17}	1.40	18.92
{5,17}	{0}	1.40	21.88
{17,0}	{5}	1.40	18.92
{0}	{4,17}	1.20	4.48
{4}	{17,0}	1.20	4.88
{17}	{0,4}	1.20	5.04
{4,0}	{17}	1.20	21.43
{4,17}	{0}	1.20	21.43
{17,0}	{4}	1.20	16.22
{0}	{2,17}	2.80	10.45
{2}	{17,0}	2.80	10.61
{17}	{0,2}	2.80	11.76
{2,0}	{17}	2.80	32.56
{2,17}	{0}	2.80	42.42
{17,0}	{2}	2.80	37.84
{0}	{18,17}	3.00	11.19
{18}	{17,0}	3.00	10.87
{17}	{0,18}	3.00	12.61
{18,0}	{17}	3.00	35.71
{18,17}	{0}	3.00	41.67
{17,0}	{18}	3.00	40.54
{0}	{9,17}	2.40	8.96
{9}	{17,0}	2.40	8.63
{17}	{0,9}	2.40	10.08
{9,0}	{17}	2.40	31.58
{9,17}	{0}	2.40	32.43
{17,0}	{9}	2.40	32.43
{0}	{14,17}	1.40	5.22
{14}	{17,0}	1.40	5.47
{17}	{0,14}	1.40	5.88
{14,0}	{17}	1.40	18.42
{14,17}	{0}	1.40	24.14
{17,0}	{14}	1.40	18.92
{0}	{7,19}	3.00	11.19
{7}	{19,0}	3.00	12.50
{19}	{0,7}	3.00	12.50
